Question	Answer	Keywords	Link label	Link URL	Suggested	Published
How do I become a member?	Settle the membership fee first, then apply online with your proof of payment attached — everything arrives in one submission, so there is no invoice to wait for. Your application is recorded straight away while the Foundation verifies your payment.	join, apply, application, sign up, register, membership	Apply for membership	/membership	Yes	Yes
What membership categories are there?	Three: Regular, Associate and Affiliate. Regular and Associate are for alumni, faculty and staff of the Academy; Affiliate is open to everyone else, including companies and institutions. All three pay the same one-time fee, and Regular members are the ones who vote in Board elections.	category, categories, regular, associate, affiliate, type	See the categories	/membership	No	Yes
How much is the membership fee?	The current fee and where to send it are published on the membership page. It is a one-time payment — there is no annual renewal.	dues, fee, cost, how much, price, payment, annual, renew	See the membership fee	/membership#dues	No	Yes
How do I check my membership status?	Look yourself up on the membership page by email, or by name if you are not sure which address the Foundation has on file. It shows your current standing — Active, being verified, or Lapsed. Your details stay private; only your own record is ever shown.	status, standing, active, lapsed, pending, check, verify	Check your status	/membership#check	Yes	Yes
Can I get a membership ID card?	Yes. Members can generate a digital PMAFI ID card carrying their name, category, standing and photo, then download it as an image. The card is created in your own browser and your photo is never uploaded or stored.	id, card, identification, digital id, badge, photo	Create your ID	/membership/id	No	Yes
How can I support PMAFI?	There are several ways to get involved: make a one-time or recurring donation, become a member, endow a professorial chair, or partner with the Foundation on a specific program.	support, help, contribute, get involved, volunteer	Ways to give	/donate	Yes	Yes
Where does my donation go?	Contributions are channeled into the Foundation's core program areas — facilities and modernization, academic excellence and endowment, leadership formation, and partnerships with the alumni community.	donation, where, spent, used, funds, money, goes	See our programs	/programs	No	Yes
How do I make a donation?	The Donate page carries the Foundation's bank and GCash details along with the steps to follow. Send your gift through whichever channel suits you, then tell the Foundation it came from you so it can be acknowledged and credited to the fund you intended.	donate, give, gift, bank, gcash, transfer, how to pay	Go to the Donate page	/donate	No	Yes
What is a professorial chair?	A professorial chair is an endowment that supports teaching at the Academy in a named subject area. It is one of the Foundation's strategic program areas, and donors can be recognized in the naming of the chair they support.	professorial, chair, endowment, endow, named, faculty	About our programs	/programs	No	Yes
Are donations tax-deductible?	PMAFI is a registered non-stock, non-profit foundation, and every gift is acknowledged. Its donee-institution status with the BIR is currently being updated, so the site makes no claim about deductibility — for your own situation, please consult your accountant or tax adviser.	tax, deductible, bir, receipt, donee, exemption	Ask about receipts	/contact	No	Yes
What is PMAFI?	The Philippine Military Academy Foundation, Inc. has been a registered non-stock, non-profit corporation since 1988. It supports the Philippine Military Academy — helping it improve the quality of its instruction, its pursuit of academic excellence, and the character development of its cadets.	pmafi, who, what is, foundation, about, mission, founded, established, 1988	About the Foundation	/about	Yes	Yes
